synthesis_temp,temp_high,temp_moderate,temp_low,pH_value,acidic,basic,reaction_time,quick_reaction,long_reaction,solvent_water,solvent_ethanol,solvent_dmf,solvent_acetone,solvent_other,metal_cu,metal_mg,metal_al,metal_other,linker_bdc,linker_btc,linker_bpdc,linker_terephthalic,linker_other
-0.38831389855046167,0,0,0,0.2292004210743031,0,0,0.1736215701514364,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
-0.38831389855046167,0,0,0,0.2292004210743031,0,0,0.1736215701514364,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.38831389855046167,0,0,0,0.2292004210743031,0,0,0.1736215701514364,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.38831389855046167,0,0,0,0.2292004210743031,0,0,0.1736215701514364,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
-0.38831389855046167,0,0,0,0.2292004210743031,0,0,0.1736215701514364,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0.5080860425838856,0,0,0,-0.802201473760061,0,0,6.495841503941681,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2.550516288206449,0,0,0,-0.802201473760061,1,0,-0.939951259095709,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.5080860425838856,0,0,0,-0.802201473760061,0,0,-0.939951259095709,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
-0.38831389855046167,0,0,0,0.2292004210743031,0,0,0.1736215701514364,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
-0.38831389855046167,0,0,0,0.2292004210743031,0,0,0.1736215701514364,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
-0.38831389855046167,0,0,0,0.2292004210743031,0,0,0.1736215701514364,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
